Point_Index,X,Y,Z
24.0,55.33294888,54.78284642,64.47724958
37.0,50.75187081,76.26887366,67.90616255
10.0,41.25128522,88.50295047,66.34549728
4.0,29.04451222,78.38203885,63.36613295
34.0,19.54412537,82.85994564,73.83830277
35.0,26.24045273,95.16940378,81.27448708
28.0,64.13021146,97.999745,78.46808741
33.0,76.26582794,67.87510667,74.15711795
1.0,74.53159097,37.62023562,74.11599486
29.0,69.29454557,16.82639113,75.79182521
19.0,58.64801267,0.539647842,77.49006322
32.0,96.40902749,10.81503607,70.16726172
8.0,99.27706262,16.95574935,62.12072773
13.0,86.92099818,26.04688254,82.28974643
26.0,82.35403543,19.07001576,25.43570118
0.0,59.91847964,11.39464675,19.00812259
14.0,51.81475444,15.34477256,18.48323949
9.0,44.71931671,13.75668877,20.59358131
7.0,41.01033356,6.437994643,18.30490885
15.0,36.62587937,35.40783463,14.17333771
23.0,33.22717888,35.51589843,19.0490368
25.0,44.02492995,52.18546411,24.65640356
5.0,47.73801676,39.42510303,40.62944662
39.0,64.88531633,57.4407617,40.06172349
3.0,97.60342213,47.69740475,43.2886117
38.0,99.99331452,70.79038983,47.58187086
12.0,88.47817336,81.75133942,8.9915246
20.0,70.16151593,81.10880071,5.120309979
21.0,82.28397621,52.03452965,12.08356317
36.0,81.36938742,49.57539609,18.07754661
27.0,25.92147581,64.38225296,6.228335217
31.0,28.34491942,76.38660596,8.906604323
22.0,33.72325662,89.22998009,23.27472709
30.0,8.487464723,74.06563373,23.63931727
16.0,5.352892156,58.26023567,18.19872955
11.0,8.721361333,59.10502059,55.31447149
17.0,14.29407997,49.16933294,48.04969315
6.0,10.54943371,55.46563964,77.45279589
2.0,0.961620717,72.60951173,75.41972988
18.0,11.33956488,15.13393729,62.35940616
24.0,55.33294888,54.78284642,64.47724958
,,,1423.0523892520002
